Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,86.260002,86.870003,85.849998,86.589996,84.480545,4921900
2019-12-12,88.000000,88.889999,87.540001,88.209999,86.061089,10282100
2019-12-13,88.019997,88.790001,87.580002,88.669998,86.509880,6714100
2019-12-16,89.139999,89.300003,88.430000,88.779999,86.617203,6705600
2019-12-17,88.870003,88.970001,87.470001,88.129997,85.983040,7296900
2019-12-18,88.389999,88.849998,87.820000,87.989998,85.846436,5859200
2019-12-19,87.830002,88.589996,87.580002,88.519997,86.363533,6022100
2019-12-20,88.790001,89.000000,87.889999,88.459999,86.305000,14271500
2019-12-23,88.620003,88.849998,88.180000,88.230003,86.080597,4349700
2019-12-24,88.199997,88.599998,88.000000,88.519997,86.363533,1847800
2019-12-26,88.730003,88.760002,87.790001,88.080002,85.934250,4177700
2019-12-27,88.110001,88.459999,87.690002,88.129997,85.983040,4129300
2019-12-30,88.010002,88.199997,87.059998,87.440002,85.309845,4655600
2019-12-31,87.440002,87.989998,87.309998,87.919998,85.778145,4115600
2020-01-02,88.120003,89.349998,88.050003,89.349998,87.173317,6473800
2020-01-03,88.660004,89.099998,88.099998,88.830002,86.665985,4874100
2020-01-06,88.110001,88.410004,87.470001,88.129997,85.983040,5409800
2020-01-07,87.959999,88.029999,87.129997,87.860001,85.719620,6514700
2020-01-08,87.940002,89.349998,87.779999,88.879997,86.714760,7296300
2020-01-09,90.250000,91.160004,90.070000,90.529999,88.324570,9443500
2020-01-10,90.800003,90.889999,89.629997,90.160004,87.963585,7097900
2020-01-13,90.620003,91.720001,90.209999,91.080002,88.861176,7382500
2020-01-14,91.190002,91.440002,90.860001,90.989998,88.773369,5855200
2020-01-15,91.000000,92.059998,91.000000,91.540001,89.309967,6145300
2020-01-16,91.989998,92.610001,91.629997,92.580002,90.324631,5180300
2020-01-17,92.930000,93.750000,92.809998,93.620003,91.339294,6962800
2020-01-21,92.830002,93.599998,92.190002,92.529999,90.275841,7094600
2020-01-22,93.139999,93.750000,92.470001,92.529999,90.275841,6157400
2020-01-23,91.919998,93.849998,90.739998,93.750000,91.466125,6100600
2020-01-24,94.000000,94.129997,91.339996,92.029999,89.788033,7815500
2020-01-27,88.629997,89.449997,87.550003,88.730003,86.568420,11066500
2020-01-28,89.050003,89.190002,87.720001,88.599998,86.441589,11922400
2020-01-29,88.150002,88.440002,85.599998,86.720001,84.607384,17678700
2020-01-30,85.449997,86.589996,84.690002,85.839996,83.748817,12224900
2020-01-31,85.790001,85.989998,84.519997,84.830002,82.763428,11693900
2020-02-03,85.070000,86.790001,85.070000,86.010002,83.914680,9092600
2020-02-04,87.139999,89.000000,86.620003,88.379997,86.226952,9997100
2020-02-05,88.879997,89.199997,86.629997,87.559998,85.825058,9982700
2020-02-06,87.650002,87.699997,86.150002,86.150002,84.443008,8901400
2020-02-07,85.760002,86.620003,85.320000,86.419998,84.707657,8073900
2020-02-10,86.430000,87.620003,86.169998,87.529999,85.795654,7289300
2020-02-11,87.860001,88.230003,87.349998,87.510002,85.776070,5098500
2020-02-12,87.709999,89.099998,87.389999,88.570000,86.815056,7747800
2020-02-13,88.500000,90.510002,88.260002,89.930000,88.148109,8576600
2020-02-14,90.180000,90.410004,88.989998,89.279999,87.510986,5686900
2020-02-18,89.370003,89.470001,88.290001,89.230003,87.461983,5288800
2020-02-19,89.489998,90.440002,89.300003,90.139999,88.353943,5210800
2020-02-20,89.730003,90.250000,87.730003,88.599998,86.844460,5969200
2020-02-21,88.000000,88.389999,87.000000,87.360001,85.629028,5800500
2020-02-24,84.529999,86.050003,84.260002,84.519997,82.845299,8313600
2020-02-25,85.019997,85.349998,81.669998,82.190002,80.561470,9404000
2020-02-26,82.599998,83.239998,80.639999,80.669998,79.071587,10541500
2020-02-27,78.830002,80.870003,77.360001,78.290001,76.738747,17120800
2020-02-28,76.169998,78.809998,75.720001,78.430000,76.875969,19120200
2020-03-02,77.919998,82.410004,77.660004,82.379997,80.747704,14258700
2020-03-03,82.300003,82.620003,78.110001,78.599998,77.042603,12395900
2020-03-04,79.290001,80.199997,77.879997,79.669998,78.091400,10999600
2020-03-05,77.900002,77.900002,75.279999,76.190002,74.680359,12545300
2020-03-06,73.459999,75.709999,72.050003,75.339996,73.847191,18080100
2020-03-09,70.580002,74.029999,70.080002,70.830002,69.426559,15930300
2020-03-10,72.559998,74.949997,70.029999,74.870003,73.386513,18414000
2020-03-11,72.830002,74.269997,67.400002,68.300003,66.946693,17138000
2020-03-12,62.950001,66.790001,61.459999,62.099998,60.869537,25170600
2020-03-13,65.650002,70.180000,63.509998,69.919998,68.534592,19247200
2020-03-16,60.630001,63.950001,58.110001,58.590000,57.429089,23354300
2020-03-17,59.549999,59.619999,53.610001,58.980000,57.811356,25045200
2020-03-18,55.549999,57.650002,50.020000,56.330002,55.213867,28770600
2020-03-19,56.230000,63.360001,53.549999,61.410000,60.193211,25167400
2020-03-20,62.299999,65.680000,57.910000,58.029999,56.880180,28420600
2020-03-23,57.230000,57.439999,54.000000,56.549999,55.429504,24905800
2020-03-24,62.610001,65.160004,61.000000,64.879997,63.594456,28286200
2020-03-25,66.830002,69.639999,63.490002,65.809998,64.506027,22977200
2020-03-26,66.709999,71.580002,66.250000,69.900002,68.514984,20997500
2020-03-27,66.680000,68.250000,64.820000,66.339996,65.025520,18950500
2020-03-30,66.559998,68.220001,64.580002,67.860001,66.515404,14199700
2020-03-31,67.180000,68.320000,65.309998,65.739998,64.437416,20109800
2020-04-01,63.000000,64.760002,61.580002,62.619999,61.379234,12880400
2020-04-02,65.750000,68.699997,62.910000,65.000000,63.712074,18175000
2020-04-03,64.470001,64.750000,60.900002,63.049999,61.800713,14676500
2020-04-06,66.269997,68.339996,64.410004,67.790001,66.446793,18010800
